"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Intentional assertion failure.","26","assertionFailure3()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","assertionFailure3"
"Intentional SQLException.","20","databaseFailure()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","databaseFailure"
"Intentional NullPointerException.","15","nullPointer1()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","nullPointer1"
"Intentional assertion failure.","33","assertionFailure1()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","assertionFailure1"
"Intentional IllegalArgumentException.","17","illegalArgument3()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","illegalArgument3"
"Intentional NullPointerException.","21","nullPointer2()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","nullPointer2"
"Intentional IllegalArgumentException.","23","illegalArgument2()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","illegalArgument2"
"Intentional IllegalArgumentException.","20","illegalArgument1()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","illegalArgument1"
"Another passing test.","23","passingTest2()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","passingTest2"
"Intentional assertion failure.","23","assertionFailure2()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","assertionFailure2"
"Simple passing test.","23","passingTest1()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","passingTest1"
"Intentional ArithmeticException.","50","arithmeticFailure()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","arithmeticFailure"
